dropout_0,dropout_1,dropout_2,dropout_3,dropout_4,dropout_5,lrate,num_layers,reg_0,reg_1,reg_2,reg_3,reg_4,reg_5,score,tuner/bracket,tuner/epochs,tuner/initial_epoch,tuner/round,units_0,units_1,units_2,units_3,units_4,units_5
0.1,0.4,,,,,0.005,1,8.999999999999988e-05,8.39999999999999e-05,,,,,0.7220000028610231,2,3,0,0,256,384,,,,
0.2,0.2,,,,,0.005,2,6.499999999999995e-05,0.000132999999999,,,,,0.7150999903678891,2,3,0,0,384,128,,,,
0.05,0.05,,,,,0.008,2,0.000119999999999,7.299999999999993e-05,,,,,0.702499985694885,2,3,0,0,384,256,,,,
0.0,0.3,,,,,0.004,2,6.899999999999994e-05,6.799999999999996e-05,,,,,0.7242500185966491,2,3,0,0,256,256,,,,
0.0,0.25,0.5,,,,0.005,3,9.999999999999988e-05,0.000121999999999,0.00015,,,,0.713750004768371,2,3,0,0,384,256,128.0,,,
0.15,0.25,0.25,,,,0.004,1,5.5e-05,5.3e-05,0.000144999999999,,,,0.731299996376037,2,3,0,0,128,256,256.0,,,
0.05,0.45,0.0,,,,0.002,2,0.000105999999999,0.000141999999999,0.000116999999999,,,,0.718200027942657,2,3,0,0,128,512,384.0,,,
0.15,0.25,0.25,,,,0.004,1,5.5e-05,5.3e-05,0.000144999999999,,,,0.7235500216484071,2,7,3,1,128,256,256.0,,,
0.0,0.3,,,,,0.004,2,6.899999999999994e-05,6.799999999999996e-05,,,,,0.7283499836921691,2,7,3,1,256,256,,,,
0.1,0.4,,,,,0.005,1,8.999999999999988e-05,8.39999999999999e-05,,,,,0.728950023651123,2,7,3,1,256,384,,,,
0.05,0.45,0.0,,,,0.002,2,0.000105999999999,0.000141999999999,0.000116999999999,,,,0.728950023651123,2,7,3,1,128,512,384.0,,,
0.1,0.4,,,,,0.005,1,8.999999999999988e-05,8.39999999999999e-05,,,,,0.7302500009536741,2,20,7,2,256,384,,,,
0.05,0.45,0.0,,,,0.002,2,0.000105999999999,0.000141999999999,0.000116999999999,,,,0.760249972343444,2,20,7,2,128,512,384.0,,,
0.1,0.35,0.35,,,,0.005,1,8.099999999999991e-05,5.8999999999999984e-05,9.099999999999988e-05,,,,0.7322000265121461,1,7,0,0,384,256,384.0,,,
0.05,0.4,0.0,,,,0.002,3,6.799999999999996e-05,0.000109999999999,8.099999999999991e-05,,,,0.7524999976158141,1,7,0,0,384,384,128.0,,,
0.15,0.1,0.3,,,,0.002,3,9.699999999999988e-05,0.000115999999999,8.599999999999991e-05,,,,0.7465999722480771,1,7,0,0,512,384,256.0,,,
0.5,0.35,0.15,,,,0.004,3,0.000142999999999,0.000110999999999,0.000131999999999,,,,0.702449977397918,1,7,0,0,128,512,256.0,,,
0.05,0.4,0.0,,,,0.002,3,6.799999999999996e-05,0.000109999999999,8.099999999999991e-05,,,,0.760450005531311,1,20,7,1,384,384,128.0,,,
0.15,0.1,0.3,,,,0.002,3,9.699999999999988e-05,0.000115999999999,8.599999999999991e-05,,,,0.756250023841857,1,20,7,1,512,384,256.0,,,
0.35,0.25,0.25,,,,0.002,3,5.999999999999998e-05,6.199999999999996e-05,0.000112999999999,,,,0.756500005722045,0,20,0,0,384,256,512.0,,,
0.25,0.4,0.45,,,,0.007,3,8.39999999999999e-05,5.8999999999999984e-05,8.49999999999999e-05,,,,0.720550000667572,0,20,0,0,512,384,512.0,,,
0.15,0.3,0.4,,,,0.003,3,8.699999999999989e-05,6.699999999999995e-05,0.000136999999999,,,,0.7461000084877011,0,20,0,0,256,256,512.0,,,
0.15,0.15,,,,,0.003,2,0.000143999999999,8.699999999999993e-05,,,,,0.7064499855041501,2,3,0,0,400,300,,,,
0.15,0.25,0.35,,,,0.005,2,0.000104999999999,9.099999999999992e-05,0.000124999999999,,,,0.7063999772071831,2,3,0,0,400,300,200.0,,,
0.15,0.4,0.0,,,,0.006,3,8.399999999999994e-05,0.000144999999999,8.499999999999994e-05,,,,0.702650010585784,2,3,0,0,300,400,300.0,,,
0.05,0.2,0.0,,,,0.003,3,0.000154999999999,7.099999999999996e-05,0.000148999999999,,,,0.7121999859809871,2,3,0,0,200,400,300.0,,,
0.35,0.2,0.4,,,,0.002,2,0.000107999999999,0.000100999999999,0.000110999999999,,,,0.7238500118255611,2,3,0,0,500,500,200.0,,,
